modelo_aeronave,idade_aeronave_anos,horas_voo_total,tipo_motor,companhia_aerea,ultima_manutencao_meses,ciclos_pouso_decolagem,temperatura_media_operacao,falha_critica,tipo_falha
Bombardier CRJ,7,31019,Turbofan,LATAM,9,4609,23.3984602610533,0.0,Nenhuma
Boeing 737,18,6308,Turbofan,British,11,961,27.54784891841861,1.0,Outros
Boeing 737,4,7296,Turbofan,American,16,1075,23.55819120384691,0.0,Nenhuma
Boeing 787,2,21680,Turbojato,United,10,2461,-2.505126051641639,0.0,Nenhuma
Boeing 777,14,43556,Turbofan,Emirates,17,121,22.357855489475483,0.0,Nenhuma
Airbus A320,13,18209,Turboprop,British,19,2735,13.12727696387796,0.0,Nenhuma
Embraer E190,29,18043,Turbofan,GOL,2,1243,32.59138836184685,0.0,Nenhuma
Airbus A330,12,37918,Turbojato,LATAM,23,1898,28.20908430367649,0.0,Nenhuma
Airbus A320,7,29575,Turbofan,Azul,2,2434,-36.48317749028291,0.0,Nenhuma
Bombardier CRJ,2,38255,Turbofan,GOL,6,2072,-7.794597321728553,0.0,Nenhuma
Boeing 777,13,48468,Turboprop,LATAM,19,3791,-37.04912706436896,0.0,Nenhuma
Bombardier CRJ,14,37965,Turbofan,Delta,8,4798,-31.323631394881676,0.0,Nenhuma
Airbus A350,27,31002,Turboprop,Emirates,3,1348,11.119911370306966,0.0,Nenhuma
Airbus A330,17,17224,Turboprop,Azul,14,4152,34.27485479879154,1.0,Outros
Airbus A350,9,4328,Turbojato,Delta,16,954,-29.814895509712287,0.0,Nenhuma
Boeing 787,17,17587,Turboprop,United,1,3076,-1.6574105653193172,0.0,Nenhuma
Bombardier CRJ,8,13105,Turboprop,LATAM,21,2078,37.42470690854772,0.0,Nenhuma
Boeing 787,2,31837,Turbojato,Delta,3,4761,29.215583612084956,1.0,Sistema de Pouso
Boeing 737,28,5982,Turboprop,Emirates,22,2670,4.171771199604045,0.0,Nenhuma
Airbus A350,24,27505,Turbojato,Emirates,18,2696,25.58357234295063,1.0,Estrutural
Boeing 777,13,23260,Turbofan,United,9,4915,4.428970793785645,0.0,Nenhuma
Bombardier CRJ,3,5963,Turbojato,Emirates,6,2339,-26.562151330957853,0.0,Nenhuma
Embraer E190,16,47128,Turboprop,LATAM,23,3922,-29.397430376157274,1.0,Motor
Airbus A330,6,5412,Turbojato,LATAM,21,1535,-23.98870027429907,0.0,Nenhuma
Airbus A320,19,5148,Turboprop,Emirates,1,3201,-10.171621927917244,0.0,Nenhuma
Boeing 777,7,34123,Turbofan,Delta,21,1490,39.09498775229159,1.0,Comunicações
Boeing 777,10,36134,Turbojato,LATAM,10,815,27.97266516055612,1.0,Outros
Boeing 787,9,45102,Turbofan,GOL,6,4529,-3.211867295763014,0.0,Nenhuma
Airbus A350,2,49562,Turboprop,Emirates,23,2488,1.911520331943791,1.0,Motor
Bombardier CRJ,28,49834,Turboprop,LATAM,12,4142,-17.423196098354737,0.0,Nenhuma
Bombardier CRJ,28,3612,Turbofan,American,4,4833,19.870001300131065,1.0,Sistema Hidráulico
Boeing 737,15,22554,Turbojato,United,13,1199,28.235082074273237,0.0,Nenhuma
Boeing 737,5,4992,Turbojato,Emirates,17,3615,-19.693100868255993,0.0,Nenhuma
Airbus A330,29,22707,Turboprop,LATAM,8,4192,-36.445161978150445,1.0,Sistema Hidráulico
Boeing 787,22,15614,Turbofan,American,20,2022,13.030560168852482,1.0,Estrutural
Boeing 777,4,34785,Turbofan,LATAM,3,2716,7.813530126501917,0.0,Nenhuma
Bombardier CRJ,20,16518,Turbojato,LATAM,12,513,-5.818851822545504,0.0,Nenhuma
Embraer E190,4,21886,Turbojato,Delta,7,4268,14.730985050722865,0.0,Nenhuma
Boeing 787,18,18240,Turbojato,GOL,12,2231,6.802130328737206,0.0,Nenhuma
Airbus A330,4,44699,Turbofan,Emirates,2,1692,-18.700565989493615,0.0,Nenhuma
Airbus A330,27,8710,Turbojato,United,14,3938,-6.1930370720685985,0.0,Nenhuma
Boeing 787,17,44863,Turbojato,Emirates,22,890,-3.610346571484456,1.0,APU
Airbus A330,12,46139,Turboprop,GOL,23,2704,34.82107953042291,0.0,Nenhuma
Boeing 787,22,13243,Turbojato,Azul,5,4168,41.67685310096155,1.0,Sistema Hidráulico
Airbus A320,17,42592,Turbojato,Delta,9,615,35.905115803702245,0.0,Nenhuma
Boeing 787,10,44799,Turbofan,Delta,21,1014,21.130132044418268,0.0,Nenhuma
Airbus A350,22,7088,Turbofan,GOL,11,2332,9.724382356494857,0.0,Nenhuma
Boeing 787,1,3811,Turboprop,British,5,1045,18.587239014606176,0.0,Nenhuma
Airbus A330,22,22932,Turbojato,Delta,3,1237,39.82428376227857,0.0,Nenhuma
Bombardier CRJ,26,34255,Turboprop,Emirates,17,4971,-18.7501075059743,1.0,Sistema Hidráulico
Airbus A350,24,3821,Turbofan,GOL,2,4361,5.48524315223942,0.0,Nenhuma
Airbus A330,27,16312,Turboprop,Delta,1,3304,18.616681615034672,1.0,Sistema Hidráulico
Boeing 737,18,37883,Turbofan,LATAM,7,706,17.735995112563344,0.0,Nenhuma
Boeing 737,18,48780,Turboprop,GOL,14,3032,-18.556288435968902,1.0,Motor
Bombardier CRJ,14,13646,Turboprop,GOL,5,1163,9.872179828128907,0.0,Nenhuma
Bombardier CRJ,15,14154,Turbojato,Emirates,19,4456,27.65261710571329,0.0,Nenhuma
Airbus A350,29,36320,Turboprop,American,11,606,0.3817133042707255,0.0,Nenhuma
Airbus A320,12,1226,Turbojato,Delta,23,3069,27.43033651939247,1.0,Comunicações
Bombardier CRJ,4,4260,Turbojato,Delta,2,2354,-9.409979190862845,0.0,Nenhuma
Boeing 737,27,22690,Turbojato,GOL,8,2630,39.7946108089195,0.0,Nenhuma
Boeing 787,3,2375,Turbojato,LATAM,9,101,5.383917442423588,0.0,Nenhuma
Airbus A330,20,23877,Turboprop,LATAM,3,1411,10.655575817372217,0.0,Nenhuma
Boeing 737,29,47237,Turbofan,United,2,1244,-37.33426665160999,1.0,Sistema Hidráulico
Boeing 737,12,4533,Turbofan,LATAM,7,4069,-25.527123344069487,0.0,Nenhuma
Airbus A320,7,38711,Turbofan,Delta,5,3188,13.799379840038803,0.0,Nenhuma
Airbus A350,29,17873,Turboprop,British,21,1698,-4.3110183985069455,1.0,Sistema Hidráulico
Airbus A350,11,4244,Turbojato,American,5,721,3.1939221889448532,0.0,Nenhuma
Boeing 777,1,25495,Turbofan,GOL,20,827,-34.64743025763546,1.0,Comunicações
Airbus A320,6,17477,Turboprop,Azul,13,4977,30.90149526488267,0.0,Nenhuma
Boeing 787,15,32902,Turbojato,American,21,2329,26.68297619517847,0.0,Nenhuma
Airbus A350,15,35042,Turbofan,Emirates,20,3072,-24.24491206364279,0.0,Nenhuma
Airbus A330,19,11151,Turbojato,Emirates,6,1910,13.91799536687725,0.0,Nenhuma
Bombardier CRJ,11,34203,Turbofan,British,20,3189,29.55679299061309,1.0,Sistemas de Navegação
Airbus A320,26,13895,Turbofan,Azul,18,1124,14.472601595325997,1.0,Estrutural
Bombardier CRJ,23,30308,Turbofan,American,2,1766,-13.61616189985319,0.0,Nenhuma
Boeing 737,26,37076,Turbojato,LATAM,6,1333,15.769447790644207,1.0,Sistema Hidráulico
Airbus A330,2,17215,Turboprop,Delta,9,4736,-22.110751446926958,0.0,Nenhuma
Airbus A330,14,44909,Turbojato,British,3,2036,-12.948325231249228,1.0,APU
Boeing 737,2,24806,Turbofan,Azul,1,2683,-19.594079485889814,0.0,Nenhuma
Airbus A320,29,19586,Turbojato,British,1,1051,7.338633703167552,0.0,Nenhuma
Boeing 737,4,14876,Turboprop,American,19,1096,-30.80073502492837,0.0,Nenhuma
Bombardier CRJ,17,6389,Turbojato,Delta,5,2226,39.331382329608786,1.0,Outros
Boeing 777,3,38322,Turboprop,British,13,2388,-11.65144993865632,0.0,Nenhuma
Airbus A330,13,37136,Turboprop,Azul,19,1905,-21.387539196006887,1.0,Instrumentos
Embraer E190,9,21084,Turbojato,GOL,12,550,2.2067341561556546,0.0,Nenhuma
Embraer E190,7,49853,Turbofan,American,16,2283,-16.455185431349136,0.0,Nenhuma
Bombardier CRJ,15,35110,Turboprop,GOL,19,4624,5.4668473425247655,1.0,Comunicações
Boeing 787,23,10558,Turbojato,LATAM,3,2589,-10.376722268522734,0.0,Nenhuma
Airbus A350,29,9601,Turboprop,GOL,12,4658,-28.77432108463153,1.0,Sistema Hidráulico
Boeing 737,29,12997,Turbofan,GOL,5,3764,-17.39890442768273,1.0,Sistema Hidráulico
Boeing 737,11,5158,Turbojato,United,2,2382,-2.7326131782703555,0.0,Nenhuma
Boeing 787,20,11881,Turbojato,American,22,650,-37.42507574923182,1.0,Instrumentos
Boeing 787,2,40812,Turbojato,LATAM,7,4334,25.50461479625477,1.0,Motor
Bombardier CRJ,15,40986,Turbofan,GOL,13,1038,12.85508799018534,0.0,Nenhuma
Bombardier CRJ,14,47119,Turboprop,Emirates,15,1931,11.115566618660111,0.0,Nenhuma
Boeing 787,20,17654,Turbojato,Delta,22,4533,6.414244210035108,1.0,Instrumentos
Airbus A330,22,20039,Turboprop,Azul,3,1804,10.176619647630822,1.0,Estrutural
Bombardier CRJ,11,12277,Turboprop,GOL,21,2514,39.44541598011375,0.0,Nenhuma
Boeing 777,27,34896,Turbofan,LATAM,20,2273,-39.271617081087044,0.0,Nenhuma
Bombardier CRJ,3,30873,Turbojato,GOL,5,4532,-35.93702467909131,1.0,Pressurização
Boeing 737,17,33654,Turboprop,Azul,8,1544,-23.723060155881804,0.0,Nenhuma
Bombardier CRJ,12,6531,Turbojato,LATAM,22,902,-25.779382700582243,0.0,Nenhuma
Airbus A330,24,28497,Turbojato,American,1,501,-24.598470945119473,0.0,Nenhuma
Boeing 787,28,6939,Turbofan,LATAM,8,2374,17.115230297135263,0.0,Nenhuma
Boeing 737,29,23285,Turbojato,American,18,1808,-0.9439194107359441,1.0,Elétrico
Bombardier CRJ,21,13892,Turbojato,LATAM,20,4358,44.30120465844891,0.0,Nenhuma
Airbus A330,15,29169,Turboprop,Emirates,16,3403,-20.71469724174969,0.0,Nenhuma
Boeing 777,16,29439,Turbofan,British,18,4186,-13.579441412662955,0.0,Nenhuma
Bombardier CRJ,5,2782,Turbojato,Azul,20,4745,43.66046092814017,1.0,Instrumentos
Airbus A330,27,35124,Turboprop,Azul,12,3388,30.699441968190996,1.0,Estrutural
Boeing 777,20,48938,Turbofan,LATAM,13,2638,-0.0670662423247137,1.0,Sistema de Combustível
Boeing 787,6,24864,Turbofan,British,13,1832,7.1407352714091274,1.0,Sistema de Pouso
Bombardier CRJ,19,2498,Turboprop,GOL,10,3570,31.670123255491447,0.0,Nenhuma
Boeing 777,25,32205,Turboprop,Azul,7,1829,0.8833209139378866,0.0,Nenhuma
Boeing 737,5,38744,Turboprop,Emirates,14,3182,-22.487983495522833,1.0,Sistema de Pouso
Boeing 787,3,9928,Turboprop,American,16,3623,30.417785777122774,0.0,Nenhuma
Boeing 737,27,37937,Turboprop,American,15,3268,5.710661758429687,0.0,Nenhuma
Embraer E190,1,12836,Turbojato,Delta,12,3807,-26.99137924107519,0.0,Nenhuma
Airbus A320,26,9842,Turbojato,United,9,4066,2.974795650673798,1.0,Elétrico
Bombardier CRJ,28,40332,Turbofan,British,8,2887,-4.8777126492670035,0.0,Nenhuma
Boeing 777,6,7946,Turbojato,United,18,2431,34.53161520994942,0.0,Nenhuma
Airbus A320,15,38892,Turbojato,United,23,4289,-29.28528833434021,0.0,Nenhuma
Airbus A320,2,7961,Turbojato,American,18,3986,34.39283337808217,0.0,Nenhuma
Boeing 777,29,35087,Turboprop,Emirates,13,4478,3.537936428874197,1.0,Estrutural
Boeing 787,3,11016,Turbofan,Emirates,18,1469,-5.62902345160245,0.0,Nenhuma
Bombardier CRJ,17,14249,Turbofan,Delta,15,4200,-26.23278932575007,1.0,Pressurização
Embraer E190,25,18014,Turbofan,United,4,1380,19.569526824287742,1.0,Sistema Hidráulico
Boeing 737,24,35926,Turbofan,United,17,2967,38.77857027435344,1.0,Estrutural
Airbus A330,12,36768,Turbojato,LATAM,5,1496,-8.092924918557816,0.0,Nenhuma
Boeing 737,18,25450,Turbojato,LATAM,22,1490,-19.465274942979157,0.0,Nenhuma
Airbus A330,15,35388,Turboprop,LATAM,16,3794,7.163687944928348,0.0,Nenhuma
Boeing 737,12,37288,Turbofan,GOL,9,2894,27.675805616878975,0.0,Nenhuma
Boeing 777,16,10713,Turbojato,United,10,4225,-39.67974596320469,1.0,Sistema de Pouso
Embraer E190,27,36527,Turbojato,Emirates,18,914,13.667082093611484,1.0,Estrutural
Bombardier CRJ,8,28511,Turboprop,Emirates,17,521,10.703860059383622,0.0,Nenhuma
Airbus A330,28,43349,Turboprop,GOL,18,1552,-12.957064206646397,1.0,Estrutural
Bombardier CRJ,14,35091,Turboprop,Emirates,7,4734,-1.6290446935775194,0.0,Nenhuma
Bombardier CRJ,25,18358,Turbojato,Delta,4,1460,-19.008125946245222,0.0,Nenhuma
Bombardier CRJ,17,19126,Turbojato,British,5,3820,27.14028772590663,1.0,Pressurização
Airbus A350,29,13967,Turboprop,American,23,1955,13.935469336119155,0.0,Nenhuma
Boeing 787,21,40258,Turbofan,United,16,4709,5.280487873313746,1.0,Elétrico
Boeing 737,8,3634,Turboprop,Emirates,3,4051,-6.6352731344846845,0.0,Nenhuma
Bombardier CRJ,15,17243,Turboprop,American,18,3554,-15.232327188237768,1.0,Outros
Boeing 737,27,15934,Turboprop,Emirates,23,3533,29.932601313691677,0.0,Nenhuma
Bombardier CRJ,14,48275,Turboprop,British,21,4612,-1.6303480131466372,1.0,APU
Airbus A330,18,10733,Turbojato,LATAM,14,648,2.6230306865421795,0.0,Nenhuma
Boeing 787,20,49646,Turbofan,United,15,1041,4.270442095963041,0.0,Nenhuma
Boeing 787,7,1641,Turboprop,Azul,17,1982,-1.888810488316004,0.0,Nenhuma
Boeing 777,3,18519,Turbofan,GOL,1,2834,-18.23248376973398,0.0,Nenhuma
Airbus A350,29,20884,Turbofan,GOL,21,3091,-29.77106257934058,1.0,Elétrico
Boeing 777,12,43403,Turbofan,United,17,116,-31.62433229074204,0.0,Nenhuma
Boeing 777,21,46234,Turboprop,British,23,3448,24.384314483958534,1.0,Elétrico
Boeing 777,24,36629,Turbojato,LATAM,11,2800,-21.000135104371534,0.0,Nenhuma
Boeing 777,28,23467,Turboprop,GOL,17,519,-35.267810728912075,0.0,Nenhuma
Boeing 777,26,41103,Turbofan,LATAM,14,1774,27.788979569150314,1.0,Sistema Hidráulico
Embraer E190,3,11672,Turbofan,Delta,20,4035,-26.90475950684492,1.0,Instrumentos
Boeing 787,20,16890,Turbojato,American,19,1681,13.13741779733509,0.0,Nenhuma
Boeing 777,14,3767,Turboprop,British,21,824,-11.215321926931626,1.0,Comunicações
Bombardier CRJ,15,39832,Turbofan,Azul,7,3062,-29.249178181238698,1.0,Outros
Boeing 787,25,26667,Turbojato,American,13,2553,-4.769116763379408,0.0,Nenhuma
Boeing 787,14,21812,Turbofan,American,18,1536,-38.74124680372687,0.0,Nenhuma
Airbus A320,7,28340,Turbojato,Delta,23,4069,31.488823513567624,0.0,Nenhuma
Embraer E190,17,19490,Turbojato,GOL,14,4277,3.6473267140578614,1.0,Sistema de Pouso
Boeing 777,12,44679,Turboprop,Azul,1,979,-28.171399072823245,0.0,Nenhuma
Boeing 737,20,6406,Turbofan,GOL,7,3062,-19.8566729369363,0.0,Nenhuma
Airbus A330,4,49296,Turboprop,United,8,1555,-1.9221086682252349,1.0,APU
Airbus A350,9,40879,Turbofan,American,18,4779,-23.946102460678365,0.0,Nenhuma
Bombardier CRJ,6,17797,Turboprop,United,9,2994,-17.169071272407702,0.0,Nenhuma
Boeing 737,16,2511,Turbofan,LATAM,1,2869,5.422772959997367,1.0,Pressurização
Embraer E190,25,44514,Turboprop,American,22,1234,30.771766108262767,1.0,Elétrico
Airbus A330,28,47058,Turbojato,GOL,17,338,-5.843626716356731,0.0,Nenhuma
Embraer E190,22,12238,Turbofan,American,19,1861,20.942898252051606,1.0,Elétrico
Bombardier CRJ,22,29297,Turbofan,LATAM,6,577,34.51815814415511,0.0,Nenhuma
Boeing 787,21,47998,Turbojato,Delta,3,966,-21.61442007482623,0.0,Nenhuma
Airbus A330,21,11620,Turboprop,United,5,1758,28.6113174841836,1.0,Estrutural
Boeing 787,2,9267,Turbofan,Emirates,2,3624,24.37918685813733,0.0,Nenhuma
Bombardier CRJ,24,23352,Turbofan,United,20,3369,-9.660329674408526,0.0,Nenhuma
Boeing 737,8,14203,Turboprop,GOL,4,1456,44.10919655757371,0.0,Nenhuma
Bombardier CRJ,11,1429,Turbojato,American,10,1291,-17.681348427943654,0.0,Nenhuma
Boeing 737,13,12451,Turboprop,GOL,10,3183,-18.34172238730588,0.0,Nenhuma
Airbus A330,17,26539,Turboprop,Delta,21,848,25.642028995521812,0.0,Nenhuma
Airbus A330,8,49113,Turboprop,American,11,1573,-3.054127965657841,0.0,Nenhuma
Boeing 777,21,30004,Turbofan,Emirates,16,4157,-11.882425443611325,1.0,Estrutural
Embraer E190,18,17938,Turbojato,American,17,4978,-24.81366154617625,0.0,Nenhuma
Boeing 777,18,49015,Turbojato,Emirates,16,2938,25.053256629436248,0.0,Nenhuma
Embraer E190,14,6244,Turboprop,GOL,7,2740,26.837353521566556,1.0,Outros
Boeing 777,15,18784,Turbofan,GOL,16,4141,8.157940274561938,0.0,Nenhuma
Boeing 787,6,42917,Turboprop,LATAM,3,1291,41.37165712126669,0.0,Nenhuma
Airbus A330,11,40248,Turbofan,British,16,740,-12.956122014074388,1.0,Motor
Boeing 737,13,7569,Turbofan,British,8,577,-21.332381134256337,0.0,Nenhuma
Embraer E190,25,42859,Turbofan,Delta,12,1545,17.584675359429262,1.0,Estrutural
Bombardier CRJ,1,20299,Turbofan,British,3,3875,24.464734467974907,0.0,Nenhuma
Embraer E190,28,33710,Turbojato,LATAM,17,2943,-20.8829925030951,1.0,Sistema Hidráulico
Boeing 737,6,28726,Turbofan,United,21,942,-33.48808503780538,0.0,Nenhuma
Boeing 777,9,5152,Turbofan,Emirates,18,436,28.89390135984162,0.0,Nenhuma
Embraer E190,8,24823,Turboprop,American,11,1299,43.00266775991106,0.0,Nenhuma
Airbus A350,11,42638,Turboprop,GOL,4,2578,14.79714431614417,1.0,Sistema de Combustível
Boeing 787,22,8097,Turbojato,American,16,4553,-16.381313487769,0.0,Nenhuma
Airbus A330,19,47593,Turboprop,American,17,3578,44.71717172698733,1.0,Motor
Boeing 737,24,37726,Turbofan,Azul,9,947,35.92766408270158,1.0,Estrutural
Airbus A330,9,7091,Turboprop,United,6,760,3.63735493382498,0.0,Nenhuma
Airbus A350,17,49614,Turbojato,Azul,20,3745,30.152309211555874,1.0,Sistema de Combustível
Embraer E190,12,26333,Turboprop,British,2,2736,29.34474447735218,1.0,Sistema de Pouso
Embraer E190,25,12326,Turboprop,American,9,4562,39.45791242224746,0.0,Nenhuma
Bombardier CRJ,14,26917,Turbojato,Emirates,21,465,31.4785267207441,1.0,Sistemas de Navegação
Airbus A350,15,19193,Turbojato,GOL,6,1521,14.71273505635898,0.0,Nenhuma
Boeing 737,16,14638,Turbofan,Emirates,3,4230,11.79081611130313,0.0,Nenhuma
Bombardier CRJ,22,2669,Turboprop,American,20,4312,-0.27463049181300647,1.0,Elétrico
Boeing 787,22,19056,Turbofan,United,6,2481,13.251279397514374,1.0,Estrutural
Bombardier CRJ,28,22552,Turboprop,Emirates,7,2565,27.593409855082527,0.0,Nenhuma
Airbus A320,20,6813,Turboprop,Azul,1,1145,42.36819823571703,1.0,Pressurização
Boeing 737,1,8815,Turbofan,GOL,23,859,-0.28057455451979507,0.0,Nenhuma
Airbus A320,10,8536,Turboprop,American,1,3094,8.760522254044353,0.0,Nenhuma
Airbus A350,8,32278,Turboprop,Delta,5,1042,-2.191532920003553,1.0,Outros
Boeing 777,18,28234,Turboprop,United,6,1331,16.82153278358934,0.0,Nenhuma
Airbus A320,28,23673,Turbojato,United,13,4420,13.543242845207061,1.0,Elétrico
Boeing 787,1,30903,Turbofan,Delta,2,1823,-38.48412783354202,0.0,Nenhuma
Bombardier CRJ,2,1285,Turbojato,Emirates,15,3611,5.998732523555965,0.0,Nenhuma
Boeing 777,1,6639,Turbofan,American,15,3866,-32.47861386558381,0.0,Nenhuma
Bombardier CRJ,1,6844,Turbofan,United,13,1806,-37.75739246952924,0.0,Nenhuma
Airbus A320,9,19300,Turboprop,GOL,14,2423,27.251758777199356,0.0,Nenhuma
Bombardier CRJ,13,25872,Turbofan,American,22,2626,-18.014761716459454,0.0,Nenhuma
Airbus A350,1,21038,Turbojato,American,7,941,-11.044318430579562,0.0,Nenhuma
Boeing 777,13,15473,Turbojato,Azul,14,4234,-34.55281005365437,1.0,Sistema de Pouso
Airbus A350,20,6119,Turbojato,United,10,757,-24.742477857980198,0.0,Nenhuma
Airbus A320,26,35204,Turbofan,United,17,2447,25.07640955191235,0.0,Nenhuma
Airbus A350,22,37075,Turbojato,Delta,14,4532,1.9501205697727784,0.0,Nenhuma
Boeing 787,7,40419,Turbofan,Azul,8,2184,34.85681931676261,0.0,Nenhuma
Airbus A320,2,42761,Turbojato,Emirates,4,2404,-6.234418825319011,0.0,Nenhuma
Airbus A320,6,45623,Turbojato,British,16,4585,-17.160437460887202,1.0,Motor
Airbus A320,7,28216,Turbofan,Emirates,13,1026,-10.454015771014667,0.0,Nenhuma
Boeing 737,26,3736,Turbojato,Emirates,22,784,20.585602448936875,1.0,Estrutural
Bombardier CRJ,14,16348,Turboprop,Azul,20,2518,7.175482148431314,0.0,Nenhuma
Boeing 737,26,2852,Turbofan,United,18,2590,36.856252641956374,1.0,Elétrico
Boeing 737,18,2432,Turbofan,American,14,682,11.184345398055079,0.0,Nenhuma
Boeing 787,15,11413,Turbofan,Azul,18,4318,1.9065477209277688,1.0,Sistema de Pouso
Boeing 777,2,9056,Turboprop,Delta,5,4149,26.788981530372297,0.0,Nenhuma
Bombardier CRJ,10,21800,Turbofan,Azul,9,2951,40.54037731234284,0.0,Nenhuma
Airbus A350,23,5998,Turbojato,Delta,3,1713,-9.753097544177503,0.0,Nenhuma
Embraer E190,12,11082,Turbojato,Emirates,8,2065,-18.760522135934398,0.0,Nenhuma
Airbus A320,17,47133,Turbojato,British,20,3231,12.37847868500183,0.0,Nenhuma
Airbus A350,8,10069,Turbofan,Azul,22,4113,2.4041897980798836,0.0,Nenhuma
Airbus A320,11,5357,Turbojato,Delta,10,2680,44.08077386350659,0.0,Nenhuma
Boeing 787,29,840,Turbofan,Azul,22,3922,-0.6992483474426692,0.0,Nenhuma
Airbus A320,3,44449,Turbojato,British,19,1104,-33.6818181343706,0.0,Nenhuma
Boeing 737,27,17266,Turboprop,Emirates,21,430,43.07637016609905,1.0,Estrutural
Bombardier CRJ,6,26632,Turboprop,Azul,3,3132,31.7048903754509,0.0,Nenhuma
Embraer E190,9,8991,Turboprop,GOL,11,2441,-24.848737763573116,0.0,Nenhuma
Airbus A330,6,638,Turboprop,Delta,11,1642,36.891446514593895,0.0,Nenhuma
Airbus A320,9,858,Turbofan,British,17,4311,-11.04332023015171,1.0,Sistema de Pouso
Airbus A350,7,10214,Turbojato,Delta,16,2797,-7.94548131457222,0.0,Nenhuma
Boeing 737,9,20340,Turboprop,Delta,7,2439,37.043276000783536,0.0,Nenhuma
Airbus A330,18,34895,Turbofan,LATAM,4,3603,5.0598230280018015,0.0,Nenhuma
Embraer E190,12,31154,Turboprop,British,23,3077,-28.290151001125828,0.0,Nenhuma
Airbus A330,8,26379,Turboprop,Azul,19,1257,-8.630226455946659,0.0,Nenhuma
Boeing 737,8,16496,Turbofan,Delta,12,3903,21.378282932769864,0.0,Nenhuma
Bombardier CRJ,18,38272,Turbofan,United,15,594,-25.19434401421858,1.0,Sistema de Pouso
Bombardier CRJ,28,27262,Turbojato,LATAM,11,3131,10.169651779540494,1.0,Elétrico
Boeing 777,20,13783,Turbojato,GOL,5,3713,19.09830130027543,0.0,Nenhuma
Bombardier CRJ,15,39920,Turboprop,Delta,5,2289,-10.772446078880755,0.0,Nenhuma
Boeing 777,27,20054,Turboprop,Emirates,15,2417,18.979858540207395,0.0,Nenhuma
Airbus A330,7,20719,Turbojato,Delta,18,3823,35.157624905492085,1.0,Sistema de Pouso
Boeing 787,11,35419,Turbojato,LATAM,11,2677,0.1299232598254747,0.0,Nenhuma
Airbus A350,20,9929,Turbofan,Azul,12,3981,-7.452707104718222,0.0,Nenhuma
Airbus A350,16,47340,Turbojato,United,2,2524,-18.651535884545716,1.0,Motor
Airbus A330,4,45195,Turbojato,Emirates,20,3180,11.357465788380857,0.0,Nenhuma
Airbus A320,6,40173,Turboprop,GOL,15,3557,34.78742408329086,0.0,Nenhuma
Airbus A320,26,19718,Turbojato,Emirates,20,146,-12.403792289258504,1.0,Sistema Hidráulico
Bombardier CRJ,22,12952,Turboprop,Delta,4,3908,-6.319980414329201,1.0,Sistema Hidráulico
Airbus A350,26,49480,Turbojato,Azul,22,2758,-5.436831008251367,1.0,Estrutural
Airbus A350,3,19451,Turbofan,British,18,3386,7.669049051088955,0.0,Nenhuma
Boeing 777,9,1807,Turbojato,United,6,506,-20.585238266767718,0.0,Nenhuma
Boeing 787,28,15352,Turbojato,British,23,4418,29.88794820115487,0.0,Nenhuma
Boeing 737,10,25732,Turbojato,United,19,3037,-14.873806412141189,1.0,Comunicações
Airbus A320,14,35928,Turboprop,GOL,11,4138,19.95582872621796,0.0,Nenhuma
Airbus A350,11,43671,Turbofan,American,2,3934,3.6233380512619178,0.0,Nenhuma
Boeing 777,18,26985,Turbojato,United,8,1081,9.801296284984332,0.0,Nenhuma
Embraer E190,22,10738,Turboprop,American,11,257,-24.733257199679255,0.0,Nenhuma
Boeing 777,12,39475,Turbofan,British,5,1987,22.476971845144497,0.0,Nenhuma
Airbus A320,23,1640,Turboprop,United,18,1196,-23.967255881376357,0.0,Nenhuma
Airbus A320,12,25342,Turboprop,GOL,23,4349,-30.354740801667674,1.0,Sistemas de Navegação
Boeing 777,13,26921,Turbofan,LATAM,18,2614,6.467757490546887,0.0,Nenhuma
Boeing 737,25,2208,Turbojato,GOL,14,492,20.29025663800155,1.0,Estrutural
Airbus A330,13,4130,Turboprop,GOL,22,4834,-35.74695390304568,1.0,Instrumentos
Airbus A320,19,20095,Turboprop,LATAM,10,882,-34.101398230053924,1.0,Outros
Boeing 777,26,10985,Turbojato,LATAM,3,1511,28.227728830003116,0.0,Nenhuma
Airbus A350,19,28808,Turbojato,Azul,9,3566,28.76777945812323,1.0,Pressurização
Boeing 777,23,45289,Turbofan,United,3,1209,-19.149099049978098,0.0,Nenhuma
Boeing 787,14,26586,Turbofan,British,11,436,12.294397238017297,1.0,Sistema de Pouso
Airbus A330,4,17359,Turbofan,Azul,12,2091,-2.3296936127039416,0.0,Nenhuma
Embraer E190,13,8184,Turbojato,LATAM,12,2603,13.779163519298606,0.0,Nenhuma
Boeing 737,8,26052,Turboprop,American,3,1768,33.34473914843413,0.0,Nenhuma
Bombardier CRJ,29,1707,Turboprop,British,21,4825,-33.212203910508194,0.0,Nenhuma
Embraer E190,23,46599,Turbofan,American,7,4100,26.12867620901862,1.0,Estrutural
Airbus A330,21,2460,Turbojato,GOL,14,3459,1.9074738842883434,1.0,Estrutural
Airbus A330,23,1057,Turboprop,Delta,11,739,7.950790219769701,0.0,Nenhuma
Airbus A330,19,30189,Turbofan,GOL,7,1219,15.584165601455226,1.0,Sistema de Pouso
Embraer E190,12,49151,Turboprop,GOL,21,1002,38.42296767597412,1.0,APU
Airbus A350,18,14393,Turboprop,Delta,10,4929,-35.178803948102285,1.0,Sistema de Pouso
